message,appIcon,appName,userId,userName,userEmail,date,ip,type,installationId
Confirmed user 523101c0.,bwi-globe,Web vault - Firefox,2e530145-290c-47ad-a503-af490107dd26,John Doe,john.doe@test.hmrc.gov.uk,2023-02-07T14:58:47.6758385Z,94.173.98.185,OrganizationUser_Confirmed,
Logged in,bwi-globe,Web vault - Firefox,2e530145-290c-47ad-a503-af490107dd26,John Doe,john.doe@test.hmrc.gov.uk,2023-02-07T14:57:41.5850033Z,94.173.98.185,User_LoggedIn,
User 523101c0 enrolled in password reset.,bwi-globe,Web vault - Chrome,98ac0a09-9bd5-498b-9a7a-af4a008f4424,Michael Phelps,michael.phelps@test.hmrc.gov.uk,2023-02-07T09:22:22.0380631Z,82.7.109.125,OrganizationUser_ResetPassword_Enroll,
Invited user 523101c0.,bwi-globe,Web vault - Firefox,2e530145-290c-47ad-a503-af490107dd26,John Doe,john.doe@test.hmrc.gov.uk,2023-02-06T14:22:55.9226544Z,94.173.98.185,OrganizationUser_Invited,
Logged in,bwi-globe,Web vault - Firefox,2e530145-290c-47ad-a503-af490107dd26,John Doe,john.doe@test.hmrc.gov.uk,2023-02-06T14:22:17.9057129Z,94.173.98.185,User_LoggedIn,
Logged in,bwi-globe,Web vault - Firefox,2e530145-290c-47ad-a503-af490107dd26,John Doe,john.doe@test.hmrc.gov.uk,2023-01-26T10:14:54.8284364Z,94.173.98.185,User_LoggedIn,
Modified policy DisablePersonalVaultExport.,bwi-globe,Web vault - Firefox,2e530145-290c-47ad-a503-af490107dd26,John Doe,john.doe@test.hmrc.gov.uk,2023-01-10T15:27:20.062835Z,146.199.219.126,Policy_Updated,
Modified policy DisableSend.,bwi-globe,Web vault - Firefox,2e530145-290c-47ad-a503-af490107dd26,John Doe,john.doe@test.hmrc.gov.uk,2023-01-10T15:27:14.3135684Z,146.199.219.126,Policy_Updated,
Modified policy PasswordGenerator.,bwi-globe,Web vault - Firefox,2e530145-290c-47ad-a503-af490107dd26,John Doe,john.doe@test.hmrc.gov.uk,2023-01-10T15:27:08.1022387Z,146.199.219.126,Policy_Updated,
Modified policy PasswordGenerator.,bwi-globe,Web vault - Firefox,2e530145-290c-47ad-a503-af490107dd26,John Doe,john.doe@test.hmrc.gov.uk,2023-01-10T15:27:02.2951081Z,146.199.219.126,Policy_Updated,
Modified policy ResetPassword.,bwi-globe,Web vault - Firefox,2e530145-290c-47ad-a503-af490107dd26,John Doe,john.doe@test.hmrc.gov.uk,2023-01-10T15:22:53.5410476Z,146.199.219.126,Policy_Updated,
Modified policy MasterPassword.,bwi-globe,Web vault - Firefox,2e530145-290c-47ad-a503-af490107dd26,John Doe,john.doe@test.hmrc.gov.uk,2023-01-10T15:22:40.4811811Z,146.199.219.126,Policy_Updated,
Modified policy TwoFactorAuthentication.,bwi-globe,Web vault - Firefox,2e530145-290c-47ad-a503-af490107dd26,John Doe,john.doe@test.hmrc.gov.uk,2023-01-10T15:22:09.577277Z,146.199.219.126,Policy_Updated,
Invited user 2e5c00c7.,bwi-globe,Web vault - Firefox,2e530145-290c-47ad-a503-af490107dd26,John Doe,john.doe@test.hmrc.gov.uk,2023-01-10T15:20:53.4350676Z,146.199.219.126,OrganizationUser_Invited,
Logged in,bwi-globe,Web vault - Firefox,2e530145-290c-47ad-a503-af490107dd26,John Doe,john.doe@test.hmrc.gov.uk,2023-01-10T15:04:33.4934663Z,146.199.219.126,User_LoggedIn,
Logged in,bwi-globe,Web vault - Firefox,2e530145-290c-47ad-a503-af490107dd26,John Doe,john.doe@test.hmrc.gov.uk,2023-01-09T16:04:44.2824572Z,146.199.219.126,User_LoggedIn,
Logged in,bwi-globe,Web vault - Firefox,2e530145-290c-47ad-a503-af490107dd26,John Doe,john.doe@test.hmrc.gov.uk,2023-01-09T10:22:10.5797979Z,146.199.219.126,User_LoggedIn,
